epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,2.325593,0.462108,0.824641,0.651568,0.647061,0.671369,0.646827,0.001
2,0.879754,0.63284,0.722255,0.700348,0.707355,0.715118,0.703289,0.001
3,0.720888,0.696429,0.581612,0.787456,0.782478,0.801786,0.789022,0.001
4,0.641892,0.740418,0.521391,0.796167,0.794436,0.805483,0.799141,0.001
5,0.577147,0.75392,0.47568,0.815331,0.812573,0.8287,0.817674,0.001
6,0.527251,0.787456,0.477791,0.777003,0.785438,0.79931,0.778231,0.001
7,0.488319,0.801394,0.448895,0.801394,0.810698,0.820658,0.80403,0.001
8,0.454227,0.814895,0.398751,0.839721,0.840985,0.847338,0.843424,0.001
9,0.418964,0.829268,0.407918,0.853659,0.866965,0.854011,0.857103,0.001
10,0.393816,0.837979,0.381874,0.836237,0.845149,0.843475,0.838818,0.001
11,0.386288,0.84669,0.405495,0.832753,0.854195,0.837394,0.839657,0.001
12,0.362045,0.848432,0.363299,0.853659,0.851754,0.862603,0.855446,0.001
13,0.341415,0.858885,0.336546,0.879791,0.885548,0.880073,0.88192,0.001
14,0.319247,0.87108,0.397506,0.867596,0.882605,0.866205,0.870064,0.001
15,0.302002,0.878484,0.355528,0.858885,0.870256,0.867116,0.864208,0.001
16,0.279366,0.881533,0.367422,0.876307,0.881228,0.876899,0.877978,0.001
17,0.28506,0.883711,0.32531,0.888502,0.887316,0.893169,0.889927,0.001
18,0.247047,0.899826,0.402761,0.885017,0.890138,0.883306,0.885852,0.001
19,0.29187,0.889373,0.345824,0.87108,0.889146,0.874781,0.875546,0.001
20,0.250221,0.900261,0.351405,0.890244,0.894516,0.892835,0.892335,0.001
21,0.261114,0.890244,0.319126,0.902439,0.902343,0.904333,0.903306,0.001
22,0.229392,0.906359,0.35391,0.88676,0.898005,0.889175,0.889431,0.001
23,0.240528,0.905052,0.337869,0.890244,0.902397,0.890692,0.893353,0.001
24,0.214728,0.912456,0.344515,0.878049,0.894054,0.876369,0.880381,0.001
25,0.214862,0.916812,0.289816,0.904181,0.910343,0.903536,0.905642,0.001
26,0.196269,0.922474,0.354457,0.888502,0.900784,0.889675,0.891996,0.001
27,0.204302,0.91899,0.292879,0.905923,0.906802,0.906909,0.905565,0.001
28,0.188094,0.925958,0.297794,0.904181,0.911461,0.90335,0.905202,0.001
29,0.209768,0.921603,0.320174,0.909408,0.909166,0.910044,0.909182,0.001
30,0.186888,0.926394,0.275402,0.918118,0.919396,0.918832,0.918723,0.001
31,0.143325,0.940331,0.293354,0.921603,0.921162,0.922016,0.921107,0.001
32,0.17829,0.932056,0.379516,0.883275,0.903978,0.884526,0.887705,0.001
33,0.163785,0.93554,0.268206,0.921603,0.925592,0.9218,0.923086,0.001
34,0.148681,0.945557,0.380319,0.890244,0.904288,0.887342,0.892782,0.001
35,0.144514,0.946429,0.363686,0.904181,0.915129,0.900763,0.905077,0.001
36,0.158015,0.944251,0.385401,0.914634,0.918097,0.910988,0.914149,0.001
37,0.135305,0.945122,0.365911,0.898955,0.913406,0.894944,0.900636,0.001
38,0.118104,0.956882,0.336188,0.919861,0.922863,0.917817,0.919924,0.0005
39,0.097924,0.960801,0.399846,0.919861,0.924788,0.916848,0.920418,0.0005
40,0.122591,0.953397,0.304084,0.921603,0.922448,0.921893,0.921778,0.0005
