epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,4.766679,0.335366,1.199749,0.456446,0.595642,0.486146,0.432008,0.001
2,1.265903,0.361934,1.220586,0.473868,0.36434,0.512218,0.40307,0.001
3,1.256423,0.390679,1.108269,0.552265,0.418981,0.597004,0.484065,0.001
4,1.246222,0.416376,1.133125,0.559233,0.613225,0.56268,0.491919,0.001
5,1.197319,0.444251,1.076977,0.585366,0.712537,0.592367,0.51665,0.001
6,1.245994,0.435105,1.097469,0.583624,0.621444,0.577255,0.511314,0.001
7,1.202574,0.466028,1.053715,0.621951,0.622271,0.623935,0.557591,0.001
8,1.194848,0.472125,1.072639,0.576655,0.635387,0.566769,0.514458,0.001
9,1.184391,0.45993,0.961365,0.641115,0.629402,0.668715,0.614305,0.001
10,1.145873,0.485192,0.894852,0.688153,0.700612,0.721227,0.654188,0.001
11,1.160735,0.47561,0.960223,0.644599,0.669986,0.662524,0.616455,0.001
12,1.106331,0.506098,1.024675,0.61324,0.664741,0.614639,0.5807,0.001
13,1.128975,0.481272,0.881377,0.660279,0.668929,0.686369,0.634717,0.001
14,1.128194,0.489111,0.906442,0.651568,0.648484,0.668407,0.60825,0.001
15,1.102139,0.496516,0.958303,0.655052,0.661226,0.662278,0.636006,0.0005
16,1.078664,0.506969,0.881159,0.65331,0.642149,0.671443,0.623912,0.0005
17,1.069911,0.508275,0.814288,0.66899,0.659897,0.707069,0.646709,0.0005
