epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,1.374801,0.44338,1.51758,0.400697,0.4919,0.369768,0.348235,0.0005
2,1.122402,0.560976,1.173649,0.445993,0.541019,0.492229,0.386906,0.0005
3,1.066035,0.554878,0.874333,0.623693,0.647808,0.640688,0.619402,0.0005
4,1.024268,0.581882,0.836658,0.632404,0.65258,0.643116,0.63534,0.0005
5,0.968897,0.577526,1.522781,0.400697,0.52451,0.437269,0.340155,0.0005
6,0.960948,0.582317,0.874231,0.611498,0.658776,0.619878,0.623987,0.0005
7,0.931186,0.61324,1.040257,0.543554,0.676856,0.596616,0.473888,0.0005
8,0.914682,0.600174,0.803762,0.649826,0.657509,0.646477,0.644651,0.0005
9,0.878914,0.624564,0.816694,0.644599,0.663385,0.648517,0.624642,0.0005
10,0.82934,0.63676,0.699935,0.691638,0.689725,0.714462,0.696786,0.0005
11,0.810104,0.647213,1.103958,0.505226,0.56204,0.534503,0.464799,0.0005
12,0.801509,0.652875,0.717044,0.686411,0.693408,0.692233,0.682001,0.0005
13,0.80061,0.65331,0.690849,0.695122,0.701325,0.708626,0.687908,0.0005
14,0.779072,0.662892,0.70879,0.682927,0.709028,0.69818,0.685474,0.0005
15,0.721746,0.69338,0.662027,0.705575,0.712441,0.715329,0.703661,0.00025
16,0.706579,0.700348,0.828874,0.595819,0.630687,0.638715,0.549878,0.00025
17,0.697658,0.699477,0.586824,0.754355,0.770186,0.757151,0.756285,0.00025
18,0.682572,0.70601,0.572684,0.745645,0.741517,0.756988,0.745654,0.00025
19,0.630816,0.733014,0.535044,0.780488,0.781074,0.792428,0.785519,0.00025
20,0.660792,0.715157,0.565306,0.785714,0.799546,0.786634,0.788866,0.00025
21,0.636922,0.726045,0.523936,0.785714,0.786184,0.802872,0.788682,0.00025
22,0.59918,0.746516,0.484471,0.797909,0.800289,0.806118,0.802381,0.00025
23,0.614797,0.73824,0.496145,0.801394,0.803701,0.80546,0.804552,0.00025
24,0.594663,0.744338,0.500464,0.797909,0.815161,0.795698,0.800334,0.00025
25,0.589079,0.753484,0.487426,0.797909,0.80515,0.79945,0.800163,0.00025
26,0.574854,0.758711,0.458614,0.808362,0.814465,0.811159,0.809473,0.00025
27,0.574525,0.772648,0.47115,0.813589,0.815579,0.827447,0.818576,0.00025
28,0.547549,0.766986,0.478835,0.804878,0.816364,0.820796,0.807748,0.00025
29,0.534187,0.777875,0.515678,0.803136,0.814494,0.816885,0.806932,0.00025
30,0.532277,0.777003,0.413208,0.839721,0.860716,0.848526,0.846644,0.00025
31,0.502349,0.802265,0.418378,0.834495,0.837611,0.84018,0.838349,0.00025
32,0.519524,0.788763,0.433659,0.832753,0.837916,0.838412,0.83763,0.00025
33,0.519663,0.794425,0.467233,0.80662,0.853691,0.811532,0.819149,0.00025
34,0.497958,0.800958,0.405266,0.83101,0.8329,0.846178,0.834589,0.00025
35,0.47381,0.808362,0.386763,0.850174,0.8668,0.855917,0.858335,0.000125
36,0.468722,0.808362,0.375062,0.857143,0.866716,0.860431,0.861924,0.000125
37,0.446787,0.827091,0.383304,0.857143,0.870867,0.856947,0.862068,0.000125
38,0.426418,0.830139,0.359213,0.855401,0.869268,0.864281,0.862226,0.000125
39,0.44821,0.821864,0.342277,0.865854,0.873765,0.875485,0.873888,0.000125
40,0.416144,0.831882,0.345653,0.860627,0.87049,0.870203,0.868027,0.000125
41,0.431656,0.832317,0.354731,0.851916,0.870684,0.848325,0.855751,0.000125
42,0.403583,0.832753,0.316894,0.874564,0.879203,0.883313,0.880309,0.000125
43,0.409937,0.836672,0.330826,0.872822,0.884373,0.878072,0.879222,0.000125
44,0.408659,0.831446,0.32343,0.87108,0.88517,0.881387,0.878357,0.000125
45,0.410767,0.837979,0.329823,0.87108,0.886824,0.875646,0.877814,0.000125
46,0.410101,0.835366,0.323365,0.874564,0.892822,0.881005,0.881792,0.000125
47,0.395782,0.83493,0.313737,0.872822,0.881509,0.877846,0.878442,0.000125
48,0.387925,0.842334,0.308168,0.883275,0.897886,0.888896,0.890451,0.000125
49,0.379551,0.853223,0.28949,0.893728,0.897609,0.902615,0.898847,0.000125
50,0.396591,0.849739,0.326482,0.874564,0.889545,0.872295,0.87838,0.000125
