epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,1.393417,0.445557,1.451249,0.428571,0.546216,0.385589,0.344353,0.0005
2,1.102883,0.561847,0.870362,0.634146,0.664629,0.641502,0.626606,0.0005
3,1.019537,0.584495,0.812749,0.675958,0.68856,0.687245,0.679559,0.0005
4,0.988435,0.624129,0.73864,0.682927,0.696136,0.69924,0.680855,0.0005
5,0.969676,0.611498,1.159717,0.526132,0.61412,0.565549,0.474513,0.0005
6,0.881212,0.640679,0.746815,0.688153,0.714829,0.678795,0.689239,0.0005
7,0.833925,0.66115,0.631164,0.726481,0.731795,0.738335,0.724004,0.0005
8,0.801016,0.666812,0.635645,0.721254,0.735588,0.724501,0.725082,0.0005
9,0.763223,0.68946,0.904388,0.608014,0.686666,0.637899,0.599719,0.0005
10,0.770517,0.694251,0.642389,0.743902,0.750944,0.757312,0.745979,0.0005
11,0.677658,0.719077,0.595866,0.78223,0.786418,0.788312,0.784973,0.0005
12,0.669132,0.716899,0.619061,0.770035,0.78126,0.763088,0.769748,0.0005
13,0.641969,0.736934,0.492663,0.801394,0.802186,0.815103,0.801975,0.0005
14,0.600302,0.751742,0.51595,0.815331,0.836132,0.805679,0.815153,0.0005
15,0.599128,0.756969,0.503618,0.808362,0.815063,0.808821,0.810254,0.0005
16,0.575435,0.764373,0.449702,0.832753,0.839655,0.836589,0.835974,0.0005
17,0.54392,0.782666,0.437758,0.827526,0.834972,0.83647,0.834081,0.0005
18,0.578059,0.77047,0.524193,0.783972,0.804874,0.797911,0.788934,0.0005
19,0.536229,0.772648,0.423403,0.829268,0.835141,0.836031,0.833063,0.0005
20,0.501899,0.785279,0.422991,0.834495,0.838346,0.84662,0.839568,0.0005
21,0.471228,0.801394,0.42428,0.841463,0.857082,0.845015,0.846064,0.0005
22,0.468335,0.807491,0.38199,0.848432,0.856324,0.850314,0.852136,0.0005
23,0.46171,0.804443,0.384298,0.848432,0.850664,0.859311,0.853178,0.0005
24,0.458984,0.817944,0.520635,0.787456,0.796528,0.804896,0.786434,0.0005
25,0.454626,0.815331,0.386426,0.850174,0.854221,0.856646,0.854309,0.0005
26,0.413184,0.839286,0.363646,0.843206,0.852879,0.850678,0.84988,0.0005
27,0.429042,0.827962,0.541925,0.792683,0.825923,0.810077,0.802338,0.0005
28,0.408685,0.827962,0.331242,0.87108,0.874849,0.881241,0.876177,0.0005
29,0.383554,0.841899,0.4561,0.837979,0.853459,0.83312,0.838678,0.0005
30,0.384056,0.849739,0.358101,0.860627,0.866945,0.86511,0.864944,0.0005
31,0.373504,0.845819,0.310378,0.865854,0.868198,0.873536,0.870489,0.0005
32,0.372476,0.84669,0.346535,0.858885,0.872576,0.858901,0.862736,0.0005
33,0.324276,0.877178,0.314553,0.862369,0.869435,0.872248,0.868251,0.00025
34,0.303071,0.873693,0.281484,0.88676,0.886514,0.898305,0.891195,0.00025
35,0.313825,0.874564,0.290875,0.881533,0.881676,0.890971,0.885062,0.00025
36,0.280487,0.885453,0.306123,0.881533,0.882064,0.888477,0.884098,0.00025
37,0.272032,0.891115,0.308054,0.858885,0.861657,0.869864,0.863338,0.00025
38,0.257003,0.895035,0.302033,0.874564,0.88393,0.881633,0.880059,0.00025
39,0.245178,0.898084,0.257595,0.890244,0.895035,0.894678,0.894043,0.000125
40,0.258666,0.902439,0.251638,0.888502,0.892201,0.896559,0.892658,0.000125
41,0.236846,0.905052,0.249116,0.888502,0.894282,0.892654,0.892347,0.000125
42,0.235681,0.907666,0.253004,0.888502,0.892478,0.895344,0.893152,0.000125
43,0.236124,0.91115,0.255291,0.888502,0.890342,0.895786,0.892361,0.000125
44,0.214254,0.917247,0.249892,0.89547,0.900009,0.899302,0.899364,6.25e-05
45,0.216173,0.917247,0.251517,0.897213,0.901319,0.900791,0.900764,6.25e-05
46,0.217785,0.915505,0.247559,0.902439,0.902878,0.907043,0.904625,6.25e-05
47,0.208507,0.921603,0.246976,0.904181,0.907073,0.90712,0.906833,6.25e-05
48,0.213262,0.920296,0.243145,0.904181,0.90461,0.908522,0.906226,6.25e-05
49,0.220346,0.912021,0.237747,0.902439,0.903554,0.907929,0.905443,6.25e-05
50,0.205895,0.919425,0.237686,0.909408,0.912701,0.911146,0.911227,6.25e-05
