epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.990147,0.568815,0.95143,0.506969,0.621306,0.562952,0.512909,0.0001
2,0.656908,0.73824,0.544335,0.736934,0.75931,0.764354,0.747133,0.0001
3,0.56622,0.777003,0.511529,0.771777,0.804693,0.796182,0.782742,0.0001
4,0.489645,0.813153,0.534184,0.775261,0.817657,0.791081,0.785086,0.0001
5,0.446941,0.821864,0.411506,0.820557,0.827206,0.832492,0.82705,0.0001
6,0.420819,0.834059,0.402957,0.832753,0.871011,0.837336,0.842522,0.0001
7,0.408381,0.839286,0.335137,0.860627,0.874244,0.865885,0.86594,0.0001
8,0.382466,0.847125,0.344582,0.853659,0.859165,0.869653,0.859377,0.0001
9,0.352742,0.857578,0.317377,0.857143,0.872866,0.868791,0.864879,0.0001
10,0.369075,0.856707,0.276887,0.879791,0.888834,0.887,0.884958,0.0001
11,0.311609,0.88284,0.338539,0.860627,0.874115,0.870819,0.86635,0.0001
12,0.299994,0.885017,0.627057,0.750871,0.81504,0.77707,0.761633,0.0001
13,0.290112,0.891551,0.263187,0.890244,0.892179,0.898317,0.894615,0.0001
14,0.270654,0.892422,0.343692,0.87108,0.890292,0.869545,0.877487,0.0001
15,0.265904,0.902003,0.261955,0.879791,0.881436,0.891574,0.883697,0.0001
16,0.25169,0.898084,0.384978,0.83101,0.846591,0.851844,0.83438,0.0001
17,0.251151,0.905923,0.3015,0.878049,0.900775,0.885388,0.883562,0.0001
18,0.231716,0.912456,0.474545,0.843206,0.897697,0.84624,0.853402,0.0001
19,0.221851,0.91507,0.619107,0.736934,0.791693,0.769142,0.742566,0.0001
20,0.20521,0.919425,0.246541,0.904181,0.91535,0.900816,0.905785,5e-05
21,0.184101,0.932927,0.203029,0.914634,0.918254,0.920336,0.917337,5e-05
22,0.171872,0.933798,0.218294,0.918118,0.916849,0.922139,0.919055,5e-05
23,0.14708,0.943815,0.20007,0.919861,0.921543,0.928752,0.923188,5e-05
24,0.163394,0.935105,0.216521,0.914634,0.914535,0.923624,0.918355,5e-05
25,0.151178,0.944686,0.239721,0.907666,0.922679,0.910061,0.914375,5e-05
26,0.149072,0.945993,0.223066,0.919861,0.931692,0.919673,0.923649,5e-05
27,0.125683,0.952526,0.178166,0.926829,0.925433,0.930216,0.927161,5e-05
28,0.123228,0.953397,0.262765,0.89547,0.905879,0.904458,0.902791,5e-05
29,0.136124,0.953833,0.176406,0.926829,0.923784,0.933122,0.927706,5e-05
30,0.125323,0.954704,0.245468,0.914634,0.916673,0.916049,0.916073,5e-05
31,0.121964,0.956882,0.232364,0.909408,0.91863,0.910365,0.912201,5e-05
32,0.109597,0.957317,0.169621,0.930314,0.926644,0.938771,0.931382,5e-05
33,0.115365,0.955139,0.195959,0.926829,0.927419,0.933009,0.92986,5e-05
34,0.114868,0.962544,0.21683,0.939024,0.943851,0.934943,0.938799,5e-05
35,0.115075,0.956882,0.351738,0.862369,0.86115,0.878094,0.864321,5e-05
36,0.114566,0.959495,0.266589,0.89547,0.911564,0.89038,0.897367,5e-05
37,0.108506,0.960366,0.407486,0.874564,0.905533,0.87874,0.884066,5e-05
38,0.106782,0.960801,0.236611,0.921603,0.927904,0.923985,0.924428,5e-05
39,0.093507,0.968206,0.25209,0.912892,0.937205,0.91154,0.918516,5e-05
40,0.086421,0.964721,0.218566,0.919861,0.925646,0.925771,0.923285,5e-05
41,0.077817,0.972561,0.206265,0.933798,0.939033,0.935164,0.9367,2.5e-05
42,0.065493,0.976916,0.174285,0.940767,0.942832,0.940833,0.941657,2.5e-05
43,0.063601,0.978223,0.180956,0.945993,0.948627,0.946044,0.947185,2.5e-05
44,0.063866,0.978223,0.169261,0.944251,0.94422,0.946069,0.945092,2.5e-05
45,0.061687,0.979094,0.162348,0.95122,0.956259,0.951585,0.953272,2.5e-05
46,0.050893,0.97953,0.24101,0.930314,0.934461,0.928403,0.931059,2.5e-05
47,0.050107,0.983885,0.194608,0.945993,0.945068,0.94627,0.945545,2.5e-05
48,0.069505,0.974303,0.20523,0.940767,0.948177,0.937412,0.941704,2.5e-05
49,0.063991,0.976045,0.196889,0.933798,0.935938,0.934205,0.934767,2.5e-05
50,0.064962,0.974303,0.229715,0.937282,0.94273,0.932816,0.93636,2.5e-05
